EmployeeID,Gender,Age,IndigenousIdentity,DisabilityStatus,Role,WARegion,EmploymentType,Status,CommencementDate,SeparationDate,FTE
ED100021,Female,28,No,No,Teacher,South Metro,Casual,Active,2019-10-24,,0.2
ED100022,Male,21,No,No,Teacher,South West,Permanent Full-Time,Active,2025-06-24,,1.0
ED100023,Female,41,Yes,No,Teacher,Kimberley,Permanent Full-Time,Active,2019-07-15,,1.0
ED100024,Male,49,No,No,Teacher,South West,Permanent Part-Time,Active,2013-07-17,,0.6
ED100025,Female,45,No,No,Education Assistant,South Metro,Casual,Terminated,2019-01-04,2021-12-05,0.2
ED100026,Male,58,No,No,Teacher,North Metro,Permanent Part-Time,Terminated,1995-09-24,2008-06-18,0.6
ED100027,Male,49,No,No,Teacher,North Metro,Fixed Term,Active,2008-06-16,,1.0
ED100028,Female,37,No,No,Lead Teacher,Kimberley,Permanent Full-Time,Active,2024-02-25,,1.0
ED100029,Female,21,Yes,No,Teacher,North Metro,Permanent Full-Time,Active,2025-11-11,,1.0
ED100030,Female,41,No,No,Lead Teacher,North Metro,Permanent Full-Time,Active,2006-07-30,,1.0
ED100031,Male,56,No,No,Teacher,South Metro,Casual,Active,2020-06-19,,0.2
ED100032,Male,39,No,No,Teacher,South Metro,Permanent Full-Time,Active,2018-08-17,,1.0
ED100033,Male,44,No,No,School Administrator,South Metro,Permanent Full-Time,Active,2009-10-23,,1.0
ED100034,Female,49,No,No,School Administrator,North Metro,Casual,Active,2006-10-18,,0.2
ED100035,Female,31,No,No,Education Assistant,South Metro,Permanent Full-Time,Active,2026-04-22,,1.0
ED100036,Male,51,No,No,Teacher,South Metro,Fixed Term,Active,2013-12-21,,1.0
ED100037,Female,63,No,No,Teacher,Great Southern,Permanent Full-Time,Active,1993-04-16,,1.0
ED100038,Female,41,No,No,Deputy Principal,Kimberley,Permanent Full-Time,Terminated,2019-03-23,2022-04-18,1.0
ED100039,Female,30,No,No,Teacher,South West,Permanent Part-Time,Active,2022-03-11,,0.6
ED100040,Male,43,No,No,Teacher,Pilbara,Casual,Terminated,2005-11-29,2017-12-26,0.2
ED100041,Female,21,No,No,Teacher,South Metro,Permanent Full-Time,Active,2026-02-25,,1.0
ED100042,Female,48,No,No,Teacher,North Metro,Fixed Term,Active,2002-07-28,,1.0
ED100043,Female,49,No,Yes,Aboriginal Education Officer,Goldfields,Permanent Full-Time,Active,2008-01-03,,1.0
ED100044,Male,64,No,No,Teacher,South Metro,Permanent Full-Time,Terminated,2001-03-01,2009-09-20,1.0
ED100045,Female,41,No,Yes,Principal,South Metro,Permanent Full-Time,Active,2008-05-04,,1.0
ED100046,Female,48,Yes,No,Teacher,South Metro,Fixed Term,Active,2004-03-28,,1.0
ED100047,Female,33,No,No,Teacher,South Metro,Permanent Full-Time,Active,2015-07-03,,1.0
ED100048,Male,39,Yes,No,Teacher,North Metro,Permanent Full-Time,Active,2024-02-27,,1.0
ED100049,Male,25,No,No,Teacher,South Metro,Fixed Term,Terminated,2025-01-31,2026-01-09,1.0
ED100050,Male,41,No,No,School Administrator,North Metro,Permanent Full-Time,Terminated,2021-12-23,2024-09-02,1.0
ED100051,Female,40,No,No,Education Assistant,Mid West,Permanent Full-Time,Active,2010-03-22,,1.0
ED100052,Male,47,No,No,School Administrator,North Metro,Permanent Full-Time,Active,2009-11-26,,1.0
ED100053,Female,36,No,No,Aboriginal Education Officer,North Metro,Permanent Part-Time,Active,2015-03-09,,0.6
ED100054,Female,45,No,No,Lead Teacher,South Metro,Permanent Full-Time,Active,2025-07-13,,1.0
ED100055,Female,39,No,No,School Administrator,Goldfields,Fixed Term,Active,2025-04-04,,1.0
ED100056,Female,40,No,No,Teacher,South Metro,Permanent Full-Time,Active,2018-03-30,,1.0
ED100057,Male,44,No,No,Teacher,North Metro,Permanent Full-Time,Active,2024-08-07,,1.0
ED100058,Female,44,No,No,Teacher,South Metro,Fixed Term,Active,2023-10-22,,1.0
ED100059,Female,53,No,No,Teacher,North Metro,Permanent Full-Time,Active,2021-07-10,,1.0
ED100060,Female,42,No,No,Teacher,South West,Fixed Term,Active,2023-06-14,,1.0
ED100061,Female,39,No,No,Teacher,South West,Permanent Full-Time,Terminated,2022-09-15,2023-10-22,1.0
ED100062,Female,41,No,No,Education Assistant,South Metro,Permanent Full-Time,Terminated,2013-11-25,2020-04-15,1.0
ED100063,Female,35,No,No,Teacher,North Metro,Permanent Full-Time,Active,2018-12-01,,1.0
ED100064,Female,39,No,No,Teacher,Pilbara,Permanent Full-Time,Active,2020-09-18,,1.0
ED100065,Female,67,No,Yes,Teacher,North Metro,Permanent Full-Time,Terminated,2018-10-26,2023-05-20,1.0
ED100066,Female,33,No,No,Teacher,South Metro,Permanent Full-Time,Active,2018-05-16,,1.0
ED100067,Male,40,No,No,Education Assistant,North Metro,Permanent Full-Time,Active,2008-01-10,,1.0
ED100068,Female,39,No,No,Teacher,South West,Permanent Full-Time,Active,2013-03-07,,1.0
ED100069,Male,41,No,No,School Administrator,North Metro,Permanent Full-Time,Terminated,2010-12-08,2026-04-07,1.0
ED100070,Male,40,No,No,Education Assistant,South Metro,Permanent Full-Time,Active,2016-09-10,,1.0
ED100071,Male,47,No,No,Teacher,Pilbara,Permanent Full-Time,Active,2025-11-23,,1.0
ED100072,Female,23,No,No,Teacher,South Metro,Permanent Full-Time,Active,2025-10-30,,1.0
ED100073,Female,56,No,No,Education Assistant,North Metro,Permanent Full-Time,Active,2014-09-03,,1.0
ED100074,Male,51,No,No,Deputy Principal,Great Southern,Permanent Part-Time,Active,2013-09-21,,0.6
ED100075,Female,29,No,No,Deputy Principal,South Metro,Permanent Part-Time,Active,2025-11-25,,0.6
ED100076,Female,21,No,No,Education Assistant,South Metro,Permanent Full-Time,Active,2025-11-01,,1.0
ED100077,Female,32,No,No,Teacher,North Metro,Permanent Full-Time,Active,2025-01-09,,1.0
ED100078,Female,41,No,No,Teacher,South Metro,Permanent Full-Time,Terminated,2013-11-10,2025-11-30,1.0
ED100079,Male,67,No,No,Teacher,South Metro,Fixed Term,Terminated,2016-02-29,2019-09-05,1.0
ED100080,Female,50,No,No,Education Assistant,North Metro,Permanent Full-Time,Active,2013-08-19,,1.0
ED100081,Female,22,No,No,Lead Teacher,North Metro,Permanent Full-Time,Active,2025-06-15,,1.0
ED100082,Female,35,No,No,Teacher,Wheatbelt,Permanent Full-Time,Terminated,2014-01-21,2015-03-06,1.0
ED100083,Female,43,No,No,Teacher,North Metro,Fixed Term,Active,2007-09-02,,1.0
ED100084,Female,47,No,No,Teacher,North Metro,Permanent Part-Time,Active,2010-12-28,,0.6
ED100085,Female,28,No,No,Teacher,South Metro,Permanent Full-Time,Terminated,2024-03-24,2025-08-28,1.0
ED100086,Female,42,No,No,Deputy Principal,Pilbara,Permanent Full-Time,Active,2025-06-02,,1.0
ED100087,Female,35,Yes,No,Lead Teacher,North Metro,Fixed Term,Terminated,2016-04-10,2025-09-04,1.0
ED100088,Male,30,No,No,Aboriginal Education Officer,South Metro,Permanent Full-Time,Active,2024-01-05,,1.0
ED100089,Female,47,No,No,Teacher,North Metro,Permanent Full-Time,Terminated,2000-11-03,2023-05-19,1.0
ED100090,Female,53,No,No,Teacher,North Metro,Permanent Part-Time,Active,2000-09-01,,0.6
ED100091,Female,54,No,No,Deputy Principal,North Metro,Permanent Full-Time,Active,1995-12-01,,1.0
ED100092,Female,50,No,No,Education Assistant,Wheatbelt,Permanent Full-Time,Active,2002-03-22,,1.0
ED100093,Male,38,No,Yes,Lead Teacher,North Metro,Permanent Full-Time,Active,2015-02-05,,1.0
ED100094,Male,52,No,No,Education Assistant,North Metro,Fixed Term,Active,2006-08-11,,1.0
ED100095,Female,47,No,No,Teacher,South Metro,Permanent Full-Time,Terminated,2015-06-06,2017-11-16,1.0
ED100096,Female,45,No,No,Teacher,Wheatbelt,Fixed Term,Active,2010-01-28,,1.0
ED100097,Male,36,No,No,Teacher,North Metro,Permanent Full-Time,Active,2024-03-01,,1.0
ED100098,Female,38,Yes,No,Teacher,South Metro,Fixed Term,Active,2026-04-22,,1.0
ED100099,Female,44,No,No,Teacher,North Metro,Fixed Term,Active,2023-05-17,,1.0
ED100100,Male,67,No,No,Teacher,South Metro,Permanent Full-Time,Terminated,2018-05-27,2026-05-02,1.0
ED100101,Female,47,No,No,Lead Teacher,South Metro,Permanent Full-Time,Active,2020-11-04,,1.0
ED100102,Male,36,Yes,No,Teacher,South Metro,Permanent Part-Time,Active,2021-08-17,,0.6
ED100103,Female,34,No,No,Teacher,North Metro,Permanent Part-Time,Active,2025-01-08,,0.6
ED100104,Female,38,No,No,Aboriginal Education Officer,North Metro,Permanent Full-Time,Active,2024-03-28,,1.0
ED100105,Female,67,No,No,Teacher,North Metro,Fixed Term,Active,1999-03-04,,1.0
ED100106,Female,39,No,No,Teacher,South Metro,Permanent Full-Time,Active,2016-06-01,,1.0
ED100107,Female,54,No,No,Education Assistant,North Metro,Permanent Full-Time,Active,1994-11-24,,1.0
ED100108,Female,39,No,No,Teacher,Pilbara,Permanent Part-Time,Active,2016-10-29,,0.6
ED100109,Female,47,No,No,Teacher,Great Southern,Permanent Full-Time,Active,2007-03-16,,1.0
ED100110,Female,53,Yes,No,Teacher,Great Southern,Permanent Full-Time,Active,2006-11-18,,1.0
ED100111,Female,37,No,No,Teacher,Wheatbelt,Casual,Active,2017-02-01,,0.2
ED100112,Female,36,No,No,School Administrator,South Metro,Permanent Part-Time,Active,2024-09-12,,0.6
ED100113,Female,63,No,No,Education Assistant,Kimberley,Fixed Term,Active,2007-06-16,,1.0
ED100114,Female,55,No,No,Lead Teacher,North Metro,Permanent Part-Time,Active,2021-02-21,,0.6
ED100115,Female,53,No,No,Education Assistant,South Metro,Permanent Part-Time,Active,2001-04-18,,0.6
ED100116,Female,53,No,No,Education Assistant,South Metro,Permanent Full-Time,Active,1996-12-18,,1.0
ED100117,Female,49,No,No,Teacher,South Metro,Permanent Full-Time,Active,2021-12-04,,1.0
ED100118,Female,67,No,No,Aboriginal Education Officer,Pilbara,Permanent Full-Time,Active,1997-06-13,,1.0
ED100119,Male,44,No,No,Teacher,North Metro,Permanent Full-Time,Active,2012-10-22,,1.0
ED100120,Female,50,No,No,Education Assistant,North Metro,Casual,Active,2004-06-05,,0.2
ED100121,Female,26,No,No,Aboriginal Education Officer,South West,Permanent Full-Time,Active,2024-04-22,,1.0
ED100122,Male,34,No,No,Teacher,North Metro,Permanent Full-Time,Active,2021-09-20,,1.0
ED100123,Female,29,No,No,Teacher,South Metro,Permanent Part-Time,Active,2021-05-28,,0.6
ED100124,Female,59,No,No,Teacher,South West,Permanent Full-Time,Active,2007-03-26,,1.0
ED100125,Male,21,No,No,Teacher,South Metro,Permanent Full-Time,Active,2025-11-18,,1.0
ED100126,Female,39,No,No,Education Assistant,South Metro,Permanent Full-Time,Active,2024-09-24,,1.0
ED100127,Male,21,No,No,Education Assistant,North Metro,Fixed Term,Active,2025-08-18,,1.0
ED100128,Female,34,No,No,Teacher,North Metro,Permanent Full-Time,Active,2013-11-08,,1.0
ED100129,Female,38,No,No,Teacher,Wheatbelt,Permanent Full-Time,Active,2012-08-09,,1.0
ED100130,Non-binary,60,No,No,Teacher,South Metro,Permanent Full-Time,Terminated,2000-11-19,2005-05-18,1.0
ED100131,Female,48,No,No,Teacher,South Metro,Permanent Full-Time,Active,2004-07-31,,1.0
ED100132,Female,34,No,No,Teacher,North Metro,Permanent Full-Time,Active,2026-02-21,,1.0
ED100133,Female,56,No,No,Teacher,North Metro,Casual,Active,1992-03-29,,0.2
ED100134,Female,44,No,No,School Administrator,Great Southern,Permanent Full-Time,Active,2015-01-28,,1.0
ED100135,Female,44,Yes,No,Teacher,South Metro,Permanent Full-Time,Active,2025-08-15,,1.0
ED100136,Female,29,No,No,Teacher,South Metro,Casual,Active,2021-10-02,,0.2
ED100137,Female,32,No,No,Deputy Principal,North Metro,Permanent Part-Time,Active,2020-07-27,,0.6
ED100138,Female,34,No,No,Teacher,Goldfields,Permanent Full-Time,Active,2022-10-15,,1.0
ED100139,Female,44,No,No,School Administrator,South West,Permanent Full-Time,Active,2022-04-15,,1.0
ED100140,Female,44,No,No,School Administrator,South Metro,Fixed Term,Active,2008-03-27,,1.0
ED100141,Female,62,No,No,Teacher,North Metro,Permanent Full-Time,Terminated,1994-06-20,2019-11-08,1.0
ED100142,Male,48,No,Yes,Teacher,South Metro,Permanent Full-Time,Active,2001-07-22,,1.0
ED100143,Female,21,No,No,Teacher,Pilbara,Permanent Full-Time,Active,2026-03-30,,1.0
ED100144,Female,47,No,No,Teacher,South Metro,Permanent Full-Time,Terminated,2017-06-08,2023-01-07,1.0
ED100145,Male,26,No,No,Teacher,Wheatbelt,Permanent Part-Time,Active,2021-07-10,,0.6
ED100146,Male,32,No,No,Lead Teacher,South Metro,Permanent Full-Time,Active,2022-04-30,,1.0
ED100147,Female,34,No,No,Teacher,South West,Permanent Full-Time,Active,2015-01-14,,1.0
ED100148,Male,36,No,No,Teacher,South Metro,Fixed Term,Active,2013-10-28,,1.0
ED100149,Female,27,No,No,Teacher,North Metro,Permanent Full-Time,Terminated,2022-02-27,2025-09-17,1.0
ED100150,Male,46,No,No,Aboriginal Education Officer,North Metro,Permanent Full-Time,Active,2003-10-25,,1.0
ED100151,Female,27,No,No,Teacher,North Metro,Permanent Full-Time,Active,2022-05-26,,1.0
ED100152,Female,48,Yes,Yes,Teacher,South West,Permanent Part-Time,Active,2023-07-14,,0.6
ED100153,Female,67,No,No,Teacher,Pilbara,Permanent Full-Time,Active,2014-09-26,,1.0
ED100154,Male,28,No,No,School Administrator,Goldfields,Permanent Part-Time,Active,2024-03-09,,0.6
ED100155,Female,40,No,Yes,Teacher,North Metro,Permanent Full-Time,Active,2022-05-27,,1.0
ED100156,Female,21,No,No,Principal,North Metro,Permanent Part-Time,Active,2025-07-17,,0.6
ED100157,Female,40,No,No,Education Assistant,Pilbara,Fixed Term,Active,2007-06-10,,1.0
ED100158,Male,51,No,No,Teacher,South Metro,Fixed Term,Active,2020-02-02,,1.0
ED100159,Male,52,No,No,Deputy Principal,North Metro,Permanent Full-Time,Terminated,2002-03-09,2019-05-15,1.0
ED100160,Female,44,Yes,No,Teacher,South Metro,Permanent Full-Time,Active,2006-03-03,,1.0
ED100161,Female,54,No,No,Lead Teacher,North Metro,Permanent Full-Time,Active,2003-11-09,,1.0
ED100162,Female,67,No,No,Lead Teacher,North Metro,Permanent Full-Time,Terminated,2005-06-20,2009-12-25,1.0
ED100163,Female,64,No,No,Teacher,South Metro,Permanent Full-Time,Active,2021-08-31,,1.0
ED100164,Male,37,No,No,Teacher,North Metro,Permanent Full-Time,Active,2010-06-08,,1.0
ED100165,Female,26,No,No,Education Assistant,Great Southern,Casual,Active,2021-09-17,,0.2
ED100166,Female,39,No,No,Teacher,North Metro,Fixed Term,Terminated,2014-06-16,2016-10-27,1.0
ED100167,Female,32,No,No,Teacher,North Metro,Permanent Full-Time,Active,2020-03-13,,1.0
ED100168,Female,49,No,No,Teacher,North Metro,Permanent Full-Time,Active,2001-04-13,,1.0
ED100169,Female,29,Yes,No,Lead Teacher,Pilbara,Permanent Part-Time,Active,2018-12-29,,0.6
ED100170,Female,43,No,No,Principal,South Metro,Permanent Full-Time,Terminated,2020-10-30,2022-08-19,1.0
ED100171,Female,54,No,No,Teacher,South Metro,Permanent Full-Time,Active,2006-09-15,,1.0
ED100172,Female,42,No,No,Teacher,North Metro,Permanent Full-Time,Terminated,2011-02-20,2016-11-09,1.0
ED100173,Female,32,No,No,Teacher,North Metro,Permanent Full-Time,Terminated,2020-01-22,2024-08-10,1.0
ED100174,Female,58,No,No,Lead Teacher,South Metro,Permanent Part-Time,Terminated,2004-08-31,2019-10-23,0.6
ED100175,Female,21,No,No,Teacher,Mid West,Casual,Active,2025-07-23,,0.2
ED100176,Male,40,No,No,Deputy Principal,South West,Permanent Full-Time,Active,2013-10-24,,1.0
ED100177,Female,43,No,No,Teacher,North Metro,Permanent Full-Time,Active,2009-08-18,,1.0
ED100178,Female,44,No,No,School Administrator,South Metro,Permanent Full-Time,Active,2025-07-25,,1.0
ED100179,Male,46,No,No,Teacher,South West,Fixed Term,Active,2020-03-01,,1.0
ED100180,Female,51,No,No,Teacher,South Metro,Fixed Term,Active,2025-05-27,,1.0
ED100181,Female,43,No,No,Teacher,Wheatbelt,Permanent Full-Time,Terminated,2019-01-02,2024-07-01,1.0
ED100182,Female,39,No,No,School Administrator,North Metro,Fixed Term,Active,2021-04-13,,1.0
ED100183,Female,39,No,No,Education Assistant,South West,Permanent Full-Time,Terminated,2012-09-26,2024-01-03,1.0
ED100184,Female,36,No,Yes,Teacher,Pilbara,Permanent Full-Time,Active,2020-05-10,,1.0
ED100185,Female,53,No,No,Principal,South West,Permanent Part-Time,Active,2025-12-14,,0.6
ED100186,Male,36,No,No,Education Assistant,Goldfields,Permanent Full-Time,Terminated,2022-01-15,2025-03-09,1.0
ED100187,Male,54,No,No,Lead Teacher,South Metro,Permanent Full-Time,Active,1998-12-10,,1.0
ED100188,Female,44,No,No,Teacher,South West,Permanent Part-Time,Active,2011-11-25,,0.6
ED100189,Female,37,No,No,Teacher,North Metro,Permanent Full-Time,Terminated,2021-03-15,2023-07-30,1.0
ED100190,Female,51,No,Yes,Teacher,North Metro,Permanent Full-Time,Active,2006-04-27,,1.0
ED100191,Female,35,No,No,Aboriginal Education Officer,Kimberley,Permanent Full-Time,Active,2014-09-10,,1.0
ED100192,Female,51,No,No,Aboriginal Education Officer,Pilbara,Permanent Full-Time,Active,2009-12-28,,1.0
ED100193,Male,46,No,No,Lead Teacher,South West,Permanent Full-Time,Active,2021-11-17,,1.0
ED100194,Female,36,No,No,Teacher,North Metro,Permanent Full-Time,Active,2021-02-08,,1.0
ED100195,Male,50,No,No,Teacher,Mid West,Fixed Term,Active,2008-12-30,,1.0
ED100196,Female,50,No,No,Deputy Principal,Pilbara,Fixed Term,Active,2015-06-06,,1.0
ED100197,Male,57,No,No,Aboriginal Education Officer,North Metro,Permanent Full-Time,Active,2024-04-27,,1.0
ED100198,Female,55,No,No,Aboriginal Education Officer,South Metro,Permanent Full-Time,Active,2004-04-26,,1.0
ED100199,Female,49,No,No,Education Assistant,North Metro,Permanent Part-Time,Active,2019-11-25,,0.6
ED100200,Female,30,No,No,Lead Teacher,North Metro,Casual,Active,2025-11-08,,0.2
ED100201,Female,67,No,No,Teacher,Great Southern,Permanent Full-Time,Terminated,2006-11-13,2019-07-14,1.0
ED100202,Female,27,No,Yes,Teacher,South Metro,Fixed Term,Active,2023-11-29,,1.0
ED100203,Female,55,Yes,No,Aboriginal Education Officer,Kimberley,Permanent Full-Time,Active,2014-09-26,,1.0
ED100204,Female,49,No,No,Lead Teacher,Great Southern,Casual,Active,2020-12-15,,0.2
ED100205,Female,29,No,No,Teacher,South Metro,Permanent Full-Time,Active,2025-05-09,,1.0
ED100206,Male,42,No,No,Teacher,Mid West,Casual,Active,2025-12-30,,0.2
ED100207,Female,43,No,No,Principal,South Metro,Permanent Full-Time,Active,2006-03-05,,1.0
ED100208,Female,59,No,No,Teacher,Wheatbelt,Casual,Active,2021-11-06,,0.2
ED100209,Female,35,No,No,Teacher,North Metro,Permanent Full-Time,Active,2016-03-22,,1.0
ED100210,Male,40,No,No,Teacher,South West,Permanent Full-Time,Active,2020-11-04,,1.0
ED100211,Female,21,No,No,Deputy Principal,North Metro,Fixed Term,Active,2025-07-21,,1.0
ED100212,Female,64,No,No,Principal,North Metro,Permanent Part-Time,Terminated,2000-09-21,2009-01-26,0.6
ED100213,Female,31,No,No,Teacher,Pilbara,Permanent Part-Time,Active,2024-07-02,,0.6
ED100214,Male,47,No,No,Deputy Principal,South Metro,Permanent Full-Time,Terminated,2008-11-01,2020-08-20,1.0
ED100215,Male,42,No,No,Teacher,South Metro,Permanent Part-Time,Active,2005-11-15,,0.6
ED100216,Female,42,No,No,Teacher,South Metro,Fixed Term,Active,2019-05-10,,1.0
ED100217,Female,53,Yes,No,Education Assistant,Pilbara,Permanent Full-Time,Active,2014-05-10,,1.0
ED100218,Female,64,No,No,Lead Teacher,North Metro,Permanent Full-Time,Terminated,2017-10-08,2022-05-25,1.0
ED100219,Female,47,No,No,Education Assistant,North Metro,Fixed Term,Terminated,2021-07-16,2024-05-05,1.0
ED100220,Female,51,No,No,Principal,North Metro,Permanent Part-Time,Active,1998-06-22,,0.6
ED100221,Male,47,No,No,Lead Teacher,South Metro,Fixed Term,Terminated,2006-12-20,2023-11-24,1.0
ED100222,Male,56,No,No,Teacher,North Metro,Fixed Term,Active,1996-02-15,,1.0
ED100223,Female,38,No,No,Teacher,South Metro,Permanent Part-Time,Active,2025-06-27,,0.6
ED100224,Female,56,No,No,Teacher,South Metro,Permanent Part-Time,Active,2008-09-21,,0.6
ED100225,Female,57,No,No,Teacher,North Metro,Casual,Active,2005-05-07,,0.2
ED100226,Female,56,No,Yes,School Administrator,South Metro,Fixed Term,Active,2019-10-11,,1.0
ED100227,Male,36,No,No,Teacher,South West,Fixed Term,Terminated,2013-10-18,2015-12-25,1.0
ED100228,Female,41,No,No,Aboriginal Education Officer,North Metro,Permanent Full-Time,Active,2012-12-01,,1.0
ED100229,Female,46,No,No,Lead Teacher,South Metro,Permanent Full-Time,Active,2005-01-29,,1.0
ED100230,Female,27,No,No,Education Assistant,Goldfields,Permanent Full-Time,Terminated,2023-04-10,2025-05-24,1.0
ED100231,Female,63,No,No,Teacher,South Metro,Permanent Part-Time,Active,1993-05-25,,0.6
ED100232,Male,43,No,No,Lead Teacher,Kimberley,Permanent Full-Time,Terminated,2022-06-05,2025-02-21,1.0
ED100233,Female,47,No,No,Teacher,South Metro,Permanent Full-Time,Active,2019-10-11,,1.0
ED100234,Male,37,No,No,Teacher,South Metro,Permanent Full-Time,Active,2025-09-06,,1.0
ED100235,Female,28,No,No,Deputy Principal,North Metro,Permanent Part-Time,Terminated,2019-09-05,2022-07-19,0.6
ED100236,Male,36,Yes,No,Teacher,Kimberley,Fixed Term,Active,2013-11-14,,1.0
ED100237,Female,46,No,No,Teacher,Goldfields,Fixed Term,Active,2006-03-22,,1.0
ED100238,Male,52,No,No,Lead Teacher,North Metro,Permanent Full-Time,Active,2000-07-02,,1.0
ED100239,Female,45,No,No,Teacher,South Metro,Permanent Full-Time,Active,2019-03-14,,1.0
ED100240,Female,48,No,No,School Administrator,Great Southern,Permanent Full-Time,Active,2002-08-06,,1.0
ED100241,Female,39,No,No,School Administrator,South Metro,Permanent Full-Time,Terminated,2023-12-21,2026-02-04,1.0
ED100242,Female,49,No,No,Aboriginal Education Officer,South Metro,Permanent Part-Time,Terminated,2015-06-05,2023-02-28,0.6
ED100243,Female,61,No,Yes,Teacher,South West,Permanent Full-Time,Terminated,2022-04-13,2026-04-08,1.0
ED100244,Female,52,No,No,Teacher,Kimberley,Permanent Full-Time,Active,1999-05-06,,1.0
ED100245,Male,53,No,No,School Administrator,South Metro,Permanent Full-Time,Terminated,2016-12-01,2017-12-03,1.0
ED100246,Female,47,No,No,Teacher,Mid West,Permanent Full-Time,Active,2007-09-21,,1.0
ED100247,Male,25,No,No,School Administrator,Wheatbelt,Permanent Full-Time,Active,2025-06-29,,1.0
ED100248,Male,31,No,No,School Administrator,South Metro,Permanent Full-Time,Terminated,2022-10-21,2023-11-22,1.0
ED100249,Female,49,Yes,No,Education Assistant,South Metro,Permanent Full-Time,Active,2015-02-06,,1.0
ED100250,Female,43,Yes,No,Teacher,South Metro,Permanent Full-Time,Terminated,2024-09-09,2026-01-05,1.0
ED100251,Female,49,No,No,Teacher,Great Southern,Permanent Full-Time,Active,2001-07-21,,1.0
ED100252,Female,64,No,No,Education Assistant,Kimberley,Permanent Part-Time,Terminated,2014-11-21,2019-10-11,0.6
ED100253,Female,52,No,No,Teacher,North Metro,Casual,Active,2002-11-20,,0.2
ED100254,Male,59,No,No,Teacher,Wheatbelt,Permanent Full-Time,Terminated,2020-10-09,2022-09-10,1.0
ED100255,Female,45,No,No,Lead Teacher,South Metro,Permanent Part-Time,Active,2006-02-05,,0.6
ED100256,Female,34,No,No,School Administrator,North Metro,Fixed Term,Active,2020-08-16,,1.0
ED100257,Female,43,No,No,Deputy Principal,South Metro,Permanent Full-Time,Active,2009-09-24,,1.0
ED100258,Male,34,No,No,Lead Teacher,South Metro,Permanent Full-Time,Active,2014-02-06,,1.0
ED100259,Female,62,No,No,Teacher,Wheatbelt,Permanent Full-Time,Active,2018-11-19,,1.0
ED100260,Female,53,No,Yes,Lead Teacher,North Metro,Permanent Full-Time,Terminated,2011-12-28,2021-06-06,1.0
ED100261,Female,50,No,Yes,School Administrator,Wheatbelt,Permanent Part-Time,Active,2000-12-13,,0.6
ED100262,Female,58,No,No,Teacher,South Metro,Permanent Full-Time,Active,2020-04-28,,1.0
ED100263,Male,21,No,No,Teacher,North Metro,Fixed Term,Active,2026-01-23,,1.0
ED100264,Male,51,No,No,Education Assistant,Great Southern,Permanent Full-Time,Active,2010-09-16,,1.0
ED100265,Female,28,No,No,Education Assistant,South Metro,Fixed Term,Active,2021-06-27,,1.0
ED100266,Female,43,No,No,Deputy Principal,North Metro,Fixed Term,Active,2019-01-15,,1.0
ED100267,Female,40,No,No,Deputy Principal,South Metro,Casual,Active,2010-03-07,,0.2
ED100268,Female,51,Yes,No,Teacher,Wheatbelt,Fixed Term,Active,2024-07-30,,1.0
